"ITTER107","Territorio","TIPO_DATO_CN1","Tipo aggregato (milioni di euro)","PRODOTTI1","Attività non finanziarie","VAL","Valutazione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11","totale capitale fisso per tipo di attività","V","prezzi correnti","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",80969,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11","totale capitale fisso per tipo di attività","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",80247,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11","totale capitale fisso per tipo di attività","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",80590.4,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11","totale capitale fisso per tipo di attività","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",79620.9,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11","totale capitale fisso per tipo di attività","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",79961.6,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11K","totale costruzioni ","V","prezzi correnti","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",36565.4,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11K","totale costruzioni ","V","prezzi correnti","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",36071.4,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11K","totale costruzioni ","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",36281,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11K","totale costruzioni ","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",35785.4,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11K","totale costruzioni ","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",35630.3,,
