"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y50-64","50-64 anni","2020M3G12","12-Mar-2020","2019-Q4","T4-2019",4631.566,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y50-64","50-64 anni","2020M3G12","12-Mar-2020","2019-Q3","T3-2019",4632.819,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-34","15-34 anni","2020M3G12","12-Mar-2020","2019-Q1","T1-2019",6074.239,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-34","15-34 anni","2020M3G12","12-Mar-2020","2019-Q2","T2-2019",6070.923,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-34","15-34 anni","2020M3G12","12-Mar-2020","2019-Q4","T4-2019",6076.528,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-34","15-34 anni","2020M3G12","12-Mar-2020","2019-Q3","T3-2019",6076.016,,
"IT","Italia","INAC","inattivi (migliaia)","1","maschi","Y15-64","15-64 anni","2020M3G12","12-Mar-2020","2019-Q1","T1-2019",4795.794,,
"IT","Italia","INAC","inattivi (migliaia)","1","maschi","Y15-64","15-64 anni","2020M3G12","12-Mar-2020","2019-Q2","T2-2019",4780.876,,
"IT","Italia","INAC","inattivi (migliaia)","1","maschi","Y15-64","15-64 anni","2020M3G12","12-Mar-2020","2019-Q4","T4-2019",4795.775,,
"IT","Italia","INAC","inattivi (migliaia)","1","maschi","Y15-64","15-64 anni","2020M3G12","12-Mar-2020","2019-Q3","T3-2019",4783.273,,
"IT","Italia","INAC","inattivi (migliaia)","2","femmine","Y15-64","15-64 anni","2020M3G12","12-Mar-2020","2019-Q1","T1-2019",8411.457,,
"IT","Italia","INAC","inattivi (migliaia)","2","femmine","Y15-64","15-64 anni","2020M3G12","12-Mar-2020","2019-Q2","T2-2019",8399.453,,
"IT","Italia","INAC","inattivi (migliaia)","2","femmine","Y15-64","15-64 anni","2020M3G12","12-Mar-2020","2019-Q4","T4-2019",8361.15,,
"IT","Italia","INAC","inattivi (migliaia)","2","femmine","Y15-64","15-64 anni","2020M3G12","12-Mar-2020","2019-Q3","T3-2019",8383.795,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-64","15-64 anni","2020M3G12","12-Mar-2020","2019-Q1","T1-2019",13207.251,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-64","15-64 anni","2020M3G12","12-Mar-2020","2019-Q2","T2-2019",13180.329,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-64","15-64 anni","2020M3G12","12-Mar-2020","2019-Q4","T4-2019",13156.925,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-64","15-64 anni","2020M3G12","12-Mar-2020","2019-Q3","T3-2019",13167.068,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE50","50 anni e più","2020M3G12","12-Mar-2020","2019-Q1","T1-2019",17490.325,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE50","50 anni e più","2020M3G12","12-Mar-2020","2019-Q2","T2-2019",17482.712,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE50","50 anni e più","2020M3G12","12-Mar-2020","2019-Q4","T4-2019",17547.241,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE50","50 anni e più","2020M3G12","12-Mar-2020","2019-Q3","T3-2019",17513.694,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y35-49","35-49 anni","2020M3G12","12-Mar-2020","2019-Q1","T1-2019",2504.95,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y35-49","35-49 anni","2020M3G12","12-Mar-2020","2019-Q2","T2-2019",2489.186,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y35-49","35-49 anni","2020M3G12","12-Mar-2020","2019-Q4","T4-2019",2448.83,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y35-49","35-49 anni","2020M3G12","12-Mar-2020","2019-Q3","T3-2019",2458.232,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE15","15 anni e più","2020M6G12","12-Giu-2020","2019-Q1","T1-2019",26043.909,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE15","15 anni e più","2020M6G12","12-Giu-2020","2019-Q2","T2-2019",26003.669,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE15","15 anni e più","2020M6G12","12-Giu-2020","2019-Q4","T4-2019",26189.166,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE15","15 anni e più","2020M6G12","12-Giu-2020","2019-Q3","T3-2019",26076.067,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE15","15 anni e più","2020M6G12","12-Giu-2020","2020-Q1","T1-2020",26476.791,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-24","15-24 anni","2020M6G12","12-Giu-2020","2019-Q1","T1-2019",4330.766,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-24","15-24 anni","2020M6G12","12-Giu-2020","2019-Q2","T2-2019",4314.6,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-24","15-24 anni","2020M6G12","12-Giu-2020","2019-Q4","T4-2019",4374.289,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-24","15-24 anni","2020M6G12","12-Giu-2020","2019-Q3","T3-2019",4340.493,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-24","15-24 anni","2020M6G12","12-Giu-2020","2020-Q1","T1-2020",4407.883,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2020M6G12","12-Giu-2020","2019-Q1","T1-2019",1739.011,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2020M6G12","12-Giu-2020","2019-Q2","T2-2019",1732.426,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2020M6G12","12-Giu-2020","2019-Q4","T4-2019",1753.135,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2020M6G12","12-Giu-2020","2019-Q3","T3-2019",1748.937,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2020M6G12","12-Giu-2020","2020-Q1","T1-2020",1835.251,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y50-64","50-64 anni","2020M6G12","12-Giu-2020","2019-Q1","T1-2019",4626.002,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y50-64","50-64 anni","2020M6G12","12-Giu-2020","2019-Q2","T2-2019",4605.217,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y50-64","50-64 anni","2020M6G12","12-Giu-2020","2019-Q4","T4-2019",4650.628,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y50-64","50-64 anni","2020M6G12","12-Giu-2020","2019-Q3","T3-2019",4634.11,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y50-64","50-64 anni","2020M6G12","12-Giu-2020","2020-Q1","T1-2020",4704.451,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-34","15-34 anni","2020M6G12","12-Giu-2020","2019-Q1","T1-2019",6069.777,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-34","15-34 anni","2020M6G12","12-Giu-2020","2019-Q2","T2-2019",6047.026,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-34","15-34 anni","2020M6G12","12-Giu-2020","2019-Q4","T4-2019",6127.424,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-34","15-34 anni","2020M6G12","12-Giu-2020","2019-Q3","T3-2019",6089.43,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-34","15-34 anni","2020M6G12","12-Giu-2020","2020-Q1","T1-2020",6243.134,,
"IT","Italia","INAC","inattivi (migliaia)","1","maschi","Y15-64","15-64 anni","2020M6G12","12-Giu-2020","2019-Q1","T1-2019",4786.866,,
"IT","Italia","INAC","inattivi (migliaia)","1","maschi","Y15-64","15-64 anni","2020M6G12","12-Giu-2020","2019-Q2","T2-2019",4755.959,,
"IT","Italia","INAC","inattivi (migliaia)","1","maschi","Y15-64","15-64 anni","2020M6G12","12-Giu-2020","2019-Q4","T4-2019",4850.379,,
"IT","Italia","INAC","inattivi (migliaia)","1","maschi","Y15-64","15-64 anni","2020M6G12","12-Giu-2020","2019-Q3","T3-2019",4798.697,,
"IT","Italia","INAC","inattivi (migliaia)","1","maschi","Y15-64","15-64 anni","2020M6G12","12-Giu-2020","2020-Q1","T1-2020",4972.735,,
"IT","Italia","INAC","inattivi (migliaia)","2","femmine","Y15-64","15-64 anni","2020M6G12","12-Giu-2020","2019-Q1","T1-2019",8399.289,,
"IT","Italia","INAC","inattivi (migliaia)","2","femmine","Y15-64","15-64 anni","2020M6G12","12-Giu-2020","2019-Q2","T2-2019",8374.265,,
"IT","Italia","INAC","inattivi (migliaia)","2","femmine","Y15-64","15-64 anni","2020M6G12","12-Giu-2020","2019-Q4","T4-2019",8427.844,,
"IT","Italia","INAC","inattivi (migliaia)","2","femmine","Y15-64","15-64 anni","2020M6G12","12-Giu-2020","2019-Q3","T3-2019",8397.845,,
"IT","Italia","INAC","inattivi (migliaia)","2","femmine","Y15-64","15-64 anni","2020M6G12","12-Giu-2020","2020-Q1","T1-2020",8546.642,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-64","15-64 anni","2020M6G12","12-Giu-2020","2019-Q1","T1-2019",13186.155,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-64","15-64 anni","2020M6G12","12-Giu-2020","2019-Q2","T2-2019",13130.224,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-64","15-64 anni","2020M6G12","12-Giu-2020","2019-Q4","T4-2019",13278.223,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-64","15-64 anni","2020M6G12","12-Giu-2020","2019-Q3","T3-2019",13196.542,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-64","15-64 anni","2020M6G12","12-Giu-2020","2020-Q1","T1-2020",13519.377,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE50","50 anni e più","2020M6G12","12-Giu-2020","2019-Q1","T1-2019",17483.755,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE50","50 anni e più","2020M6G12","12-Giu-2020","2019-Q2","T2-2019",17478.661,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE50","50 anni e più","2020M6G12","12-Giu-2020","2019-Q4","T4-2019",17561.571,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE50","50 anni e più","2020M6G12","12-Giu-2020","2019-Q3","T3-2019",17513.635,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE50","50 anni e più","2020M6G12","12-Giu-2020","2020-Q1","T1-2020",17661.866,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y35-49","35-49 anni","2020M6G12","12-Giu-2020","2019-Q1","T1-2019",2490.376,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y35-49","35-49 anni","2020M6G12","12-Giu-2020","2019-Q2","T2-2019",2477.981,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y35-49","35-49 anni","2020M6G12","12-Giu-2020","2019-Q4","T4-2019",2500.172,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y35-49","35-49 anni","2020M6G12","12-Giu-2020","2019-Q3","T3-2019",2473.002,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y35-49","35-49 anni","2020M6G12","12-Giu-2020","2020-Q1","T1-2020",2571.791,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE15","15 anni e più","2020M9G11","11-Set-2020","2019-Q1","T1-2019",26047.279,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE15","15 anni e più","2020M9G11","11-Set-2020","2019-Q2","T2-2019",25995.163,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE15","15 anni e più","2020M9G11","11-Set-2020","2019-Q4","T4-2019",26184.95,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE15","15 anni e più","2020M9G11","11-Set-2020","2019-Q3","T3-2019",26117.029,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE15","15 anni e più","2020M9G11","11-Set-2020","2020-Q2","T2-2020",27202.978,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE15","15 anni e più","2020M9G11","11-Set-2020","2020-Q1","T1-2020",26405.192,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-24","15-24 anni","2020M9G11","11-Set-2020","2019-Q1","T1-2019",4334.255,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-24","15-24 anni","2020M9G11","11-Set-2020","2019-Q2","T2-2019",4308.546,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-24","15-24 anni","2020M9G11","11-Set-2020","2019-Q4","T4-2019",4376.928,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-24","15-24 anni","2020M9G11","11-Set-2020","2019-Q3","T3-2019",4348.952,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-24","15-24 anni","2020M9G11","11-Set-2020","2020-Q2","T2-2020",4550.305,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-24","15-24 anni","2020M9G11","11-Set-2020","2020-Q1","T1-2020",4404.046,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2020M9G11","11-Set-2020","2019-Q1","T1-2019",1738.942,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2020M9G11","11-Set-2020","2019-Q2","T2-2019",1730.794,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2020M9G11","11-Set-2020","2019-Q4","T4-2019",1752.004,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2020M9G11","11-Set-2020","2019-Q3","T3-2019",1758.102,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2020M9G11","11-Set-2020","2020-Q2","T2-2020",2036.014,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2020M9G11","11-Set-2020","2020-Q1","T1-2020",1819.632,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y50-64","50-64 anni","2020M9G11","11-Set-2020","2019-Q1","T1-2019",4626.318,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y50-64","50-64 anni","2020M9G11","11-Set-2020","2019-Q2","T2-2019",4604.163,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y50-64","50-64 anni","2020M9G11","11-Set-2020","2019-Q4","T4-2019",4650.135,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y50-64","50-64 anni","2020M9G11","11-Set-2020","2019-Q3","T3-2019",4640.785,,
