"ITTER107","Territorio","TIPO_DATO_SEQNZCONTI1","Tipo aggregato (milioni di euro)","VAL","Valutazione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2020M7_1","Lug-2020 (stima preliminare)","2020-Q2","T2-2020",356646.8,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2020M7_1","Lug-2020 (stima preliminare)","2020-Q1","T1-2020",406935.7,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2019-Q1","T1-2019",0.179,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2019-Q2","T2-2019",0.146,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2019-Q4","T4-2019",-0.231,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2019-Q3","T3-2019",0.011,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2020-Q2","T2-2020",-12.978,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2020-Q1","T1-2020",-5.489,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2020-Q3","T3-2020",16.118,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2019-Q1","T1-2019",0.355,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2019-Q2","T2-2019",0.406,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2019-Q4","T4-2019",0.105,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2019-Q3","T3-2019",0.492,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2020-Q2","T2-2020",-17.934,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2020-Q1","T1-2020",-5.558,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2020-Q3","T3-2020",-4.718,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2019-Q1","T1-2019",431345.5,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2019-Q2","T2-2019",431973.9,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2019-Q4","T4-2019",431027.1,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2019-Q3","T3-2019",432023.4,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2020-Q2","T2-2020",354502.3,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2020-Q1","T1-2020",407369.3,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2020M10_1","Ott-2020 (stima preliminare)","2020-Q3","T3-2020",411641.6,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2019-Q1","T1-2019",0.192,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2019-Q2","T2-2019",0.198,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2019-Q4","T4-2019",-0.361,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2019-Q3","T3-2019",0.042,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2020-Q2","T2-2020",-13.043,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2020-Q1","T1-2020",-5.53,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2020-Q3","T3-2020",15.966,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2020-Q4","T4-2020",-1.976,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2019-Q1","T1-2019",0.346,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2019-Q2","T2-2019",0.425,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2019-Q4","T4-2019",0.069,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2019-Q3","T3-2019",0.517,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2020-Q2","T2-2020",-18.114,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2020-Q1","T1-2020",-5.645,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2020-Q3","T3-2020",-5.08,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2020-Q4","T4-2020",-6.618,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2019-Q1","T1-2019",431250.8,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2019-Q2","T2-2019",432105.6,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2019-Q4","T4-2019",430724.6,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2019-Q3","T3-2019",432287.1,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2020-Q2","T2-2020",353832.3,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2020-Q1","T1-2020",406907.3,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2020-Q3","T3-2020",410326.5,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2021M2_1","Feb-2021 (stima preliminare)","2020-Q4","T4-2020",402219.9,,
